ID_x,HWSD2_SMU_ID,NSC_MU_SOURCE1,NSC_MU_SOURCE2,WISE30s_SMU_ID_x,HWSD1_SMU_ID_x,COVERAGE_x,SEQUENCE,SHARE_x,NSC,WRB_PHASES_x,WRB4_x,WRB2_x,FAO90_x,ROOT_DEPTH_x,PHASE1_x,PHASE2_x,ROOTS_x,IL_x,SWR,DRAINAGE_x,AWC_x,ADD_PROP_x,LAYER,TOPDEP,BOTDEP,COARSE,SAND,SILT,CLAY,TEXTURE_USDA_x,TEXTURE_SOTER,BULK,REF_BULK,ORG_CARBON,PH_WATER,TOTAL_N,CN_RATIO,CEC_SOIL,CEC_CLAY,CEC_EFF,TEB,BSAT,ALUM_SAT,ESP,TCARBON_EQ,GYPSUM,ELEC_COND,ID_y,WISE30s_SMU_ID_y,HWSD1_SMU_ID_y,COVERAGE_y,SHARE_y,WRB4_y,WRB_PHASES_y,WRB2_y,WRB2_CODE,FAO90_y,KOPPEN,TEXTURE_USDA_y,REF_BULK_DENSITY,BULK_DENSITY,DRAINAGE_y,ROOT_DEPTH_y,AWC_y,PHASE1_y,PHASE2_y,ROOTS_y,IL_y,ADD_PROP_y
12265,31801,,,WD30031801,31801,3,2,30,,ALha,ALha,AL,ALh,1.0,,,,,,MW,163.0,0.0,D1,0,20,11,40,41,19,9.0,M,1.4700000286102295,1.690000057220459,2.0370001792907715,5.300000190734863,1.5399999618530273,14.0,11,26,6.0,5.0,47,21,1,0.0,0.10000000149011612,0,195844,WD30031801,31801,3,50,STlv,STlv,ST,30,LVj,C,7.0,1.7300000190734863,1.4600000381469727,P,1,175,,,,,0.0
12294,31801,,,WD30031801,31801,3,2,30,,ALha,ALha,AL,ALh,,,,,,,MW,,0.0,D2,20,40,11,36,39,25,9.0,M,1.5700000524520874,1.7799999713897705,0.6420000195503235,5.199999809265137,0.699999988079071,10.0,10,31,6.0,4.0,39,46,1,0.0,0.0,0,195844,WD30031801,31801,3,50,STlv,STlv,ST,30,LVj,C,7.0,1.7300000190734863,1.4600000381469727,P,1,175,,,,,0.0
12323,31801,,,WD30031801,31801,3,2,30,,ALha,ALha,AL,ALh,,,,,,,MW,,0.0,D3,40,60,13,35,37,28,5.0,M,1.590000033378601,1.8200000524520874,0.3700000047683716,5.199999809265137,0.5199999809265137,8.0,10,34,6.0,4.0,36,52,1,0.0,0.0,0,195844,WD30031801,31801,3,50,STlv,STlv,ST,30,LVj,C,7.0,1.7300000190734863,1.4600000381469727,P,1,175,,,,,0.0
12352,31801,,,WD30031801,31801,3,2,30,,ALha,ALha,AL,ALh,,,,,,,MW,,0.0,D4,60,80,15,36,36,28,5.0,M,1.6100000143051147,1.8200000524520874,0.28299999237060547,5.099999904632568,0.4699999988079071,7.0,11,36,7.0,3.0,33,56,2,0.0,0.0,0,195844,WD30031801,31801,3,50,STlv,STlv,ST,30,LVj,C,7.0,1.7300000190734863,1.4600000381469727,P,1,175,,,,,0.0
12381,31801,,,WD30031801,31801,3,2,30,,ALha,ALha,AL,ALh,,,,,,,MW,,0.0,D5,80,100,17,37,35,28,5.0,M,1.600000023841858,1.8200000524520874,0.18700000643730164,5.099999904632568,0.4300000071525574,7.0,10,38,7.0,3.0,31,58,2,0.0,0.0,0,195844,WD30031801,31801,3,50,STlv,STlv,ST,30,LVj,C,7.0,1.7300000190734863,1.4600000381469727,P,1,175,,,,,0.0
12410,31801,,,WD30031801,31801,3,2,30,,ALha,ALha,AL,ALh,,,,,,,MW,,0.0,D6,100,150,17,40,33,27,9.0,M,1.600000023841858,1.809999942779541,0.1210000067949295,5.099999904632568,0.4399999976158142,5.0,11,38,7.0,4.0,32,54,3,0.0,0.0,0,195844,WD30031801,31801,3,50,STlv,STlv,ST,30,LVj,C,7.0,1.7300000190734863,1.4600000381469727,P,1,175,,,,,0.0
12439,31801,,,WD30031801,31801,3,2,30,,ALha,ALha,AL,ALh,,,,,,,MW,,0.0,D7,150,200,19,44,31,25,9.0,M,1.600000023841858,1.7899999618530273,0.11400000005960464,5.099999904632568,0.4000000059604645,5.0,11,45,8.0,5.0,39,49,3,0.0,0.0,0,195844,WD30031801,31801,3,50,STlv,STlv,ST,30,LVj,C,7.0,1.7300000190734863,1.4600000381469727,P,1,175,,,,,0.0
17667,1694,,,WD20001694,1694,4,4,10,,ARbr,ARbr,AR,ARb,1.0,,,,,,SE,71.0,0.0,D1,0,20,7,89,5,6,12.0,C,1.3899999856948853,1.340000033378601,0.242000013589859,6.900000095367432,0.2199999988079071,11.0,4,47,5.0,4.0,89,0,2,4.400000095367432,0.10000000149011612,0,79099,WD20001694,1694,4,50,ARpr & ARay,ARpr,AR,4,DS,B,,,-4.0,,1,0,,,,,0.0
17831,1694,,,WD20001694,1694,4,4,10,,ARbr,ARbr,AR,ARb,,,,,,,SE,,0.0,D2,20,40,19,89,5,6,12.0,C,1.4199999570846558,1.340000033378601,0.17100000381469727,6.800000190734863,0.2199999988079071,10.0,4,51,5.0,4.0,76,0,2,0.0,0.10000000149011612,0,79099,WD20001694,1694,4,50,ARpr & ARay,ARpr,AR,4,DS,B,,,-4.0,,1,0,,,,,0.0
17995,1694,,,WD20001694,1694,4,4,10,,ARbr,ARbr,AR,ARb,,,,,,,SE,,0.0,D3,40,60,20,90,5,5,12.0,C,1.5099999904632568,1.2799999713897705,0.1419999897480011,6.699999809265137,0.2199999988079071,9.0,4,45,4.0,4.0,81,0,4,0.0,0.30000001192092896,0,79099,WD20001694,1694,4,50,ARpr & ARay,ARpr,AR,4,DS,B,,,-4.0,,1,0,,,,,0.0
