,count,mean,std,min,25%,50%,75%,max
COARSE,858.0,12.08,9.69,2.0,4.0,9.0,18.0,46.0
SAND,858.0,47.95,14.23,13.0,40.42,47.0,55.0,90.0
SILT,858.0,30.22,7.6,5.0,27.0,30.0,36.0,53.0
CLAY,858.0,21.74,9.67,4.0,16.0,20.0,24.0,55.0
TEXTURE_USDA,858.0,8.95,2.4,3.0,9.0,9.0,11.0,12.0
BULK,858.0,1.43,0.12,0.12,1.37,1.44,1.48,1.76
REF_BULK,858.0,1.71,0.13,1.2,1.65,1.71,1.78,2.04
ORG_CARBON,858.0,0.93,0.67,0.24,0.59,0.7,1.16,7.33
PH_WATER,858.0,7.68,0.7,3.66,7.4,8.0,8.2,8.6
TOTAL_N,858.0,0.96,0.43,0.22,0.73,0.88,1.12,3.69
CN_RATIO,858.0,9.98,1.52,7.4,9.0,9.0,10.0,24.0
CEC_SOIL,858.0,15.75,7.11,4.0,13.0,15.0,17.0,41.0
CEC_CLAY,858.0,59.29,14.67,16.0,48.0,61.0,71.0,83.0
CEC_EFF,858.0,36.81,22.98,3.0,25.0,31.0,38.0,143.0
TEB,858.0,35.82,23.65,2.0,21.0,31.0,38.0,143.0
BSAT,858.0,93.23,11.79,10.0,93.0,99.0,100.0,100.0
ALUM_SAT,858.0,0.58,3.46,0.0,0.0,0.0,0.0,40.0
ESP,858.0,6.92,13.52,0.88,2.0,3.0,4.0,67.0
TCARBON_EQ,858.0,9.31,6.69,0.0,4.5,8.9,12.9,31.3
GYPSUM,858.0,4.45,10.97,0.0,0.3,0.6,3.3,57.6
ELEC_COND,858.0,2.19,4.43,0.0,1.0,1.0,1.0,32.0
